gene_id	gene_name	strand	category	subtype	d_utr5_bp	n_uATG_gained	uorf_gained	body_overlap	main_aa_len	alt_aa_len	aa_delta	main_tx	alt_tx	both_full_length
ENSDEMOG00000001	Demo001	+	5'UTR change	equal	0	4	1	1	228	228	0	DEMO.1.main	DEMO.1.alt	1
ENSDEMOG00000035	Demo035	+	5'UTR change	equal	0	2	1	1	254	254	0	DEMO.35.main	DEMO.35.alt	1
ENSDEMOG00000048	Demo048	-	5'UTR change	equal	0	0	0	1	316	316	0	DEMO.48.main	DEMO.48.alt	1
ENSDEMOG00000054	Demo054	+	5'UTR change	equal	0	2	1	1	152	152	0	DEMO.54.main	DEMO.54.alt	1
ENSDEMOG00000011	Demo011	-	5'UTR change	longer	560	-1	0	1	171	171	0	DEMO.11.main	DEMO.11.alt	1
ENSDEMOG00000014	Demo014	+	5'UTR change	longer	299	2	1	1	312	312	0	DEMO.14.main	DEMO.14.alt	1
ENSDEMOG00000018	Demo018	-	5'UTR change	longer	325	2	1	1	311	311	0	DEMO.18.main	DEMO.18.alt	0
ENSDEMOG00000029	Demo029	+	5'UTR change	longer	330	4	1	1	286	286	0	DEMO.29.main	DEMO.29.alt	1
ENSDEMOG00000032	Demo032	-	5'UTR change	longer	480	2	1	1	118	118	0	DEMO.32.main	DEMO.32.alt	0
ENSDEMOG00000034	Demo034	-	5'UTR change	longer	430	-1	0	1	130	130	0	DEMO.34.main	DEMO.34.alt	0
ENSDEMOG00000037	Demo037	-	5'UTR change	longer	512	-2	0	1	325	325	0	DEMO.37.main	DEMO.37.alt	0
ENSDEMOG00000045	Demo045	+	5'UTR change	longer	552	2	1	1	168	168	0	DEMO.45.main	DEMO.45.alt	0
ENSDEMOG00000046	Demo046	+	5'UTR change	longer	350	1	1	1	217	217	0	DEMO.46.main	DEMO.46.alt	0
ENSDEMOG00000057	Demo057	-	5'UTR change	longer	105	-1	0	1	317	317	0	DEMO.57.main	DEMO.57.alt	0
ENSDEMOG00000064	Demo064	-	5'UTR change	longer	390	3	1	1	171	171	0	DEMO.64.main	DEMO.64.alt	1
ENSDEMOG00000066	Demo066	-	5'UTR change	longer	428	2	1	1	308	308	0	DEMO.66.main	DEMO.66.alt	1
ENSDEMOG00000069	Demo069	+	5'UTR change	longer	550	1	1	1	219	219	0	DEMO.69.main	DEMO.69.alt	1
ENSDEMOG00000091	Demo091	-	5'UTR change	longer	95	1	1	1	236	236	0	DEMO.91.main	DEMO.91.alt	1
ENSDEMOG00000097	Demo097	-	5'UTR change	longer	465	0	0	1	245	245	0	DEMO.97.main	DEMO.97.alt	1
ENSDEMOG00000104	Demo104	+	5'UTR change	longer	298	1	1	1	269	269	0	DEMO.104.main	DEMO.104.alt	1
